Votado| B| CLAIM| NA| NA| 0
.| O| NA| NA| NA| 0
En| B| PREMISE| REASON| SUPPORT| -1
Aluche| I| PREMISE| REASON| SUPPORT| -1
tenemos| I| PREMISE| REASON| SUPPORT| -1
este| I| PREMISE| REASON| SUPPORT| -1
problema| I| PREMISE| REASON| SUPPORT| -1
con| I| PREMISE| REASON| SUPPORT| -1
la| I| PREMISE| REASON| SUPPORT| -1
suciedad| I| PREMISE| REASON| SUPPORT| -1
y| I| PREMISE| REASON| SUPPORT| -1
dejadez| I| PREMISE| REASON| SUPPORT| -1
del| I| PREMISE| REASON| SUPPORT| -1
barrio| I| PREMISE| REASON| SUPPORT| -1
,| O| NA| NA| NA| 0
por| O| NA| NA| NA| 0
favor| O| NA| NA| NA| 0
votad| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0

Debe| B| CLAIM| NA| NA| 0
usted| I| CLAIM| NA| NA| 0
informarse| I| CLAIM| NA| NA| 0
antes| I| CLAIM| NA| NA| 0
de| I| CLAIM| NA| NA| 0
criticar| I| CLAIM| NA| NA| 0
:| O| NA| NA| NA| 0
Ahora| B| PREMISE| REASON| SUPPORT| -1
Madrid| I| PREMISE| REASON| SUPPORT| -1
prácticamente| I| PREMISE| REASON| SUPPORT| -1
inició| I| PREMISE| REASON| SUPPORT| -1
su| I| PREMISE| REASON| SUPPORT| -1
legislatura| I| PREMISE| REASON| SUPPORT| -1
con| I| PREMISE| REASON| SUPPORT| -1
el| I| PREMISE| REASON| SUPPORT| -1
problema| I| PREMISE| REASON| SUPPORT| -1
de| I| PREMISE| REASON| SUPPORT| -1
la| I| PREMISE| REASON| SUPPORT| -1
limpieza| I| PREMISE| REASON| SUPPORT| -1
.| O| NA| NA| NA| 0
Creó| B| PREMISE| EXPLANATION| SUPPORT| -1
un| I| PREMISE| EXPLANATION| SUPPORT| -1
plan| I| PREMISE| EXPLANATION| SUPPORT| -1
urgente| I| PREMISE| EXPLANATION| SUPPORT| -1
para| I| PREMISE| EXPLANATION| SUPPORT| -1
el| I| PREMISE| EXPLANATION| SUPPORT| -1
verano| I| PREMISE| EXPLANATION| SUPPORT| -1
,| O| NA| NA| NA| 0
pues| O| NA| NA| NA| 0
aún| B| PREMISE| REASON| SUPPORT| -1
había| I| PREMISE| REASON| SUPPORT| -1
mucho| I| PREMISE| REASON| SUPPORT| -1
que| I| PREMISE| REASON| SUPPORT| -1
hablar| I| PREMISE| REASON| SUPPORT| -1
con| I| PREMISE| REASON| SUPPORT| -1
las| I| PREMISE| REASON| SUPPORT| -1
empresas| I| PREMISE| REASON| SUPPORT| -1
al| I| PREMISE| REASON| SUPPORT| -1
cargo| I| PREMISE| REASON| SUPPORT| -1
,| O| NA| NA| NA| 0
donde| O| NA| NA| NA| 0
se| B| PREMISE| OPPOSITION| ATTACK| -2
descubrió| I| PREMISE| OPPOSITION| ATTACK| -2
muchas| I| PREMISE| OPPOSITION| ATTACK| -2
irregularidades| I| PREMISE| OPPOSITION| ATTACK| -2
,| I| PREMISE| OPPOSITION| ATTACK| -2
y| I| PREMISE| OPPOSITION| ATTACK| -2
había| I| PREMISE| OPPOSITION| ATTACK| -2
también| I| PREMISE| OPPOSITION| ATTACK| -2
que| I| PREMISE| OPPOSITION| ATTACK| -2
hacer| I| PREMISE| OPPOSITION| ATTACK| -2
todas| I| PREMISE| OPPOSITION| ATTACK| -2
las| I| PREMISE| OPPOSITION| ATTACK| -2
gestiones| I| PREMISE| OPPOSITION| ATTACK| -2
administrativas| I| PREMISE| OPPOSITION| ATTACK| -2
necesarias| I| PREMISE| OPPOSITION| ATTACK| -2
,| I| PREMISE| OPPOSITION| ATTACK| -2
descubriéndose| I| PREMISE| OPPOSITION| ATTACK| -2
en| I| PREMISE| OPPOSITION| ATTACK| -2
ello| I| PREMISE| OPPOSITION| ATTACK| -2
el| I| PREMISE| OPPOSITION| ATTACK| -2
blindaje| I| PREMISE| OPPOSITION| ATTACK| -2
de| I| PREMISE| OPPOSITION| ATTACK| -2
muchos| I| PREMISE| OPPOSITION| ATTACK| -2
contratos| I| PREMISE| OPPOSITION| ATTACK| -2
que| I| PREMISE| OPPOSITION| ATTACK| -2
no| I| PREMISE| OPPOSITION| ATTACK| -2
se| I| PREMISE| OPPOSITION| ATTACK| -2
puede| I| PREMISE| OPPOSITION| ATTACK| -2
rescindir| I| PREMISE| OPPOSITION| ATTACK| -2
.| O| NA| NA| NA| 0
Además| O| NA| NA| NA| 0
se| B| PREMISE| ADDITION| SUPPORT| -4
encontraron| I| PREMISE| ADDITION| SUPPORT| -4
con| I| PREMISE| ADDITION| SUPPORT| -4
el| I| PREMISE| ADDITION| SUPPORT| -4
problema| I| PREMISE| ADDITION| SUPPORT| -4
de| I| PREMISE| ADDITION| SUPPORT| -4
la| I| PREMISE| ADDITION| SUPPORT| -4
plaga| I| PREMISE| ADDITION| SUPPORT| -4
de| I| PREMISE| ADDITION| SUPPORT| -4
los| I| PREMISE| ADDITION| SUPPORT| -4
árboles| I| PREMISE| ADDITION| SUPPORT| -4
de| I| PREMISE| ADDITION| SUPPORT| -4
la| I| PREMISE| ADDITION| SUPPORT| -4
zona| I| PREMISE| ADDITION| SUPPORT| -4
este| I| PREMISE| ADDITION| SUPPORT| -4
.| O| NA| NA| NA| 0
En| B| CLAIM| NA| NA| 0
agosto| I| CLAIM| NA| NA| 0
presentaron| I| CLAIM| NA| NA| 0
el| I| CLAIM| NA| NA| 0
plan| I| CLAIM| NA| NA| 0
de| I| CLAIM| NA| NA| 0
refuerzo| I| CLAIM| NA| NA| 0
de| I| CLAIM| NA| NA| 0
la| I| CLAIM| NA| NA| 0
limpieza| I| CLAIM| NA| NA| 0
,| O| NA| NA| NA| 0
pero| O| NA| NA| NA| 0
