Limpiar| B| MAJOR_CLAIM| NA| NA| 0
las| I| MAJOR_CLAIM| NA| NA| 0
calles| I| MAJOR_CLAIM| NA| NA| 0

Algo| O| NA| NA| NA| 0
tan| O| NA| NA| NA| 0
básico| O| NA| NA| NA| 0
como| O| NA| NA| NA| 0
limpiar| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0

Pero| O| NA| NA| NA| 0
si| B| CLAIM| NA| NA| 0
esto| I| CLAIM| NA| NA| 0
está| I| CLAIM| NA| NA| 0
ya| I| CLAIM| NA| NA| 0
en| I| CLAIM| NA| NA| 0
el| I| CLAIM| NA| NA| 0
programa| I| CLAIM| NA| NA| 0
y| O| NA| NA| NA| 0
es| B| CLAIM| NA| NA| 0
una| I| CLAIM| NA| NA| 0
prioridad| I| CLAIM| NA| NA| 0
.| O| NA| NA| NA| 0

Pues| O| NA| NA| NA| 0
no| B| CLAIM| NA| NA| 0
termina| I| CLAIM| NA| NA| 0
de| I| CLAIM| NA| NA| 0
cumplirse| I| CLAIM| NA| NA| 0
el| I| CLAIM| NA| NA| 0
compromiso| I| CLAIM| NA| NA| 0
.| O| NA| NA| NA| 0
Ir| B| PREMISE| REASON| SUPPORT| -1
por| I| PREMISE| REASON| SUPPORT| -1
el| I| PREMISE| REASON| SUPPORT| -1
centro| I| PREMISE| REASON| SUPPORT| -1
es| I| PREMISE| REASON| SUPPORT| -1
un| I| PREMISE| REASON| SUPPORT| -1
asco| I| PREMISE| REASON| SUPPORT| -1
muchas| I| PREMISE| REASON| SUPPORT| -1
veces| I| PREMISE| REASON| SUPPORT| -1
.| O| NA| NA| NA| 0

Por| B| CLAIM| NA| NA| 0
centro| I| CLAIM| NA| NA| 0
y| I| CLAIM| NA| NA| 0
por| I| CLAIM| NA| NA| 0
los| I| CLAIM| NA| NA| 0
barrios| I| CLAIM| NA| NA| 0
,| O| NA| NA| NA| 0
yo| B| PREMISE| EXPLANATION| SUPPORT| -1
me| I| PREMISE| EXPLANATION| SUPPORT| -1
avergüenzo| I| PREMISE| EXPLANATION| SUPPORT| -1
cada| I| PREMISE| EXPLANATION| SUPPORT| -1
día| I| PREMISE| EXPLANATION| SUPPORT| -1
que| I| PREMISE| EXPLANATION| SUPPORT| -1
salgo| I| PREMISE| EXPLANATION| SUPPORT| -1
de| I| PREMISE| EXPLANATION| SUPPORT| -1
mi| I| PREMISE| EXPLANATION| SUPPORT| -1
casa| I| PREMISE| EXPLANATION| SUPPORT| -1
y| I| PREMISE| EXPLANATION| SUPPORT| -1
veo| I| PREMISE| EXPLANATION| SUPPORT| -1
las| I| PREMISE| EXPLANATION| SUPPORT| -1
calles| I| PREMISE| EXPLANATION| SUPPORT| -1
.| O| NA| NA| NA| 0

Pero| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
llevan| O| NA| NA| NA| 0
3| O| NA| NA| NA| 0
meses| O| NA| NA| NA| 0
!| O| NA| NA| NA| 0
y| O| NA| NA| NA| 0
este| O| NA| NA| NA| 0
problema| O| NA| NA| NA| 0
es| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
años| O| NA| NA| NA| 0
y| O| NA| NA| NA| 0
años| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0
Por| O| NA| NA| NA| 0
Dios| O| NA| NA| NA| 0
un| O| NA| NA| NA| 0
voto| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
confianza| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0

Pero| O| NA| NA| NA| 0
es| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
en| B| CLAIM| NA| NA| 0
tres| I| CLAIM| NA| NA| 0
mes| I| CLAIM| NA| NA| 0
se| I| CLAIM| NA| NA| 0
tenía| I| CLAIM| NA| NA| 0
que| I| CLAIM| NA| NA| 0
haber| I| CLAIM| NA| NA| 0
visto| I| CLAIM| NA| NA| 0
un| I| CLAIM| NA| NA| 0
poco| I| CLAIM| NA| NA| 0
de| I| CLAIM| NA| NA| 0
movimiento| I| CLAIM| NA| NA| 0
y| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
conste| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
les| O| NA| NA| NA| 0
vote| O| NA| NA| NA| 0
precisamente| O| NA| NA| NA| 0
para| O| NA| NA| NA| 0
ver| O| NA| NA| NA| 0
la| O| NA| NA| NA| 0
mejoría| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0

La| B| PREMISE| EXEMPLIFICATION| ATTACK| 1
semana| I| PREMISE| EXEMPLIFICATION| ATTACK| 1
pasada| I| PREMISE| EXEMPLIFICATION| ATTACK| 1
tuve| I| PREMISE| EXEMPLIFICATION| ATTACK| 1
la| I| PREMISE| EXEMPLIFICATION| ATTACK| 1
desgraciada| I| PREMISE| EXEMPLIFICATION| ATTACK| 1
fortuna| I| PREMISE| EXEMPLIFICATION| ATTACK| 1
de| I| PREMISE| EXEMPLIFICATION| ATTACK| 1
cruzarme| I| PREMISE| EXEMPLIFICATION| ATTACK| 1
con| I| PREMISE| EXEMPLIFICATION| ATTACK| 1
una| I| PREMISE| EXEMPLIFICATION| ATTACK| 1
rata| I| PREMISE| EXEMPLIFICATION| ATTACK| 1
cerca| I| PREMISE| EXEMPLIFICATION| ATTACK| 1
de| I| PREMISE| EXEMPLIFICATION| ATTACK| 1
Atocha| I| PREMISE| EXEMPLIFICATION| ATTACK| 1
.| O| NA| NA| NA| 0
En| B| CLAIM| NA| NA| 0
mi| I| CLAIM| NA| NA| 0
vida| I| CLAIM| NA| NA| 0
me| I| CLAIM| NA| NA| 0
había| I| CLAIM| NA| NA| 0
encontrado| I| CLAIM| NA| NA| 0
con| I| CLAIM| NA| NA| 0
ratas| I| CLAIM| NA| NA| 0
por| I| CLAIM| NA| NA| 0
la| I| CLAIM| NA| NA| 0
calle| I| CLAIM| NA| NA| 0
en| I| CLAIM| NA| NA| 0
Madrid| I| CLAIM| NA| NA| 0
.| O| NA| NA| NA| 0

La| B| CLAIM| NA| NA| 0
suciedad| I| CLAIM| NA| NA| 0
